CodAerolinea|IDAerolinea|AeropuertoOrigen|AeropuertoOrigenID|AeropuertoDestino|AeropuertoDestinoID|OperadoCarrier|Stops|Equipamiento|TicketsVendidos|Lugares|PrecioTicket|KilometrosTotales|Fecha|ocupacion
2B|410|AER|2965|KZN|2990||0|CR2|45|66|63.57|7876.5|2023-01-01|68.18181818181817
2B|410|CEK|2968|OVB|4078||0|CR2|182|261|64.78|1110.87|2023-01-01|69.73180076628353
2B|410|DME|4029|KZN|2990||0|CR2|46|90|76.52|3650.1|2023-01-01|51.11111111111111
2B|410|DME|4029|UUA|6160||0|CR2|198|255|79.15|5852.5|2023-01-01|77.64705882352942
2B|410|EGO|6156|KGD|2952||0|CR2|178|257|70.77|5122.5|2023-01-01|69.26070038910505
2B|410|GYD|2922|NBC|6969||0|CR2|138|164|78.88|1917.6|2023-01-01|84.14634146341463
2B|410|KGD|2952|EGO|6156||0|CR2|178|221|77.79|3638.07|2023-01-01|80.54298642533936
2B|410|KZN|2990|CEK|2968||0|CR2|321|397|65.17|3147.59|2023-01-01|80.85642317380352
2B|410|KZN|2990|LED|2948||0|CR2|21|36|79.48|1892.7|2023-01-01|58.333333333333336
2B|410|LED|2948|KZN|2990||0|CR2|52|66|71.91|2782.35|2023-01-01|78.78787878787878
2B|410|LED|2948|NBC|6969||0|CR2|277|363|73.47|915.91|2023-01-01|76.30853994490359
2B|410|MRV|2962|ASF|2966||0|CR2|251|307|63.16|2630.85|2023-01-01|81.75895765472313
2B|410|NBC|6969|DME|4029||0|CR2|159|243|58.49|2509.15|2023-01-01|65.4320987654321
2B|410|NBC|6969|GYD|2922||0|CR2|129|179|51.46|7860.5|2023-01-01|72.06703910614524
2B|410|NBC|6969|LED|2948||0|CR2|245|320|69.05|971.23|2023-01-01|76.5625
2B|410|OVB|4078|CEK|2968||0|CR2|195|269|53.84|1303.8|2023-01-01|72.4907063197026
2B|410|SVX|2975|KZN|2990||0|CR2|99|148|69.77|7619.9|2023-01-01|66.8918918918919
2B|410|SVX|2975|NJC|2972||0|CR2|60|79|65.77|3027.16|2023-01-01|75.9493670886076
2B|410|UUA|6160|DME|4029||0|CR2|86|165|61.18|1969.25|2023-01-01|52.121212121212125
2G|1654|BTK|2936|IKT|2937||0|A81|230|307|54.67|2920.4|2023-01-01|74.9185667752443
2G|1654|BTK|2936|OVB|4078||0|A81|249|313|67.55|2335.18|2023-01-01|79.55271565495208
2G|1654|IKT|2937|BTK|2936||0|A81|140|220|63.12|7332.6|2023-01-01|63.63636363636363
2G|1654|IKT|2937|KCK|\N||0|AN4|180|273|70.44|7953.200000000001|2023-01-01|65.93406593406593
2G|1654|IKT|2937|ODO|8944||0|AN4|175|250|78.8|3326.32|2023-01-01|70.0
2G|1654|IKT|2937|OVB|4078||0|A81|290|346|61.22|1671.15|2023-01-01|83.8150289017341
2G|1654|IKT|2937|UKX|6924||0|AN4|76|144|65.67|1667.1|2023-01-01|52.77777777777778
2G|1654|IKT|2937|ULK|9026||0|AN4|78|125|76.75|3127.63|2023-01-01|62.4
2G|1654|IKT|2937|YKS|2923||0|A81|336|434|53.02|2707.11|2023-01-01|77.41935483870968
2G|1654|OVB|4078|CEK|2968||0|A81|257|325|79.07|967.26|2023-01-01|79.07692307692308
2G|1654|UKX|6924|IKT|2937||0|AN4|333|405|71.89|3009.55|2023-01-01|82.22222222222221
2G|1654|ULK|9026|IKT|2937||0|AN4|132|220|61.29|3543.09|2023-01-01|60.0
2G|1654|YKS|2923|IKT|2937||0|A81|132|181|63.64|7199.3|2023-01-01|72.92817679558011
2I|8359|AYP|2786|LIM|2789||0|142|213|261|71.47|1940.53|2023-01-01|81.60919540229885
2I|8359|CUZ|2812|LIM|2789||0|142 141|171|268|67.52|3329.14|2023-01-01|63.80597014925373
2I|8359|CUZ|2812|PEM|2808||0|142|141|198|60.96|2370.91|2023-01-01|71.21212121212122
2I|8359|IQT|2801|PCL|2781||0|143|316|408|65.06|2141.99|2023-01-01|77.45098039215686
2I|8359|IQT|2801|TPP|2806||0|142|97|145|67.61|1399.72|2023-01-01|66.89655172413794
2I|8359|LIM|2789|HUU|6067||0|141|244|344|56.63|2496.31|2023-01-01|70.93023255813954
2I|8359|LIM|2789|PCL|2781||0|143 146|81|148|73.47|6342.799999999999|2023-01-01|54.729729729729726
2I|8359|LIM|2789|TPP|2806||0|142 146|55|86|69.38|4961.6|2023-01-01|63.95348837209303
2I|8359|PCL|2781|IQT|2801||0|143|310|383|71.48|1841.1|2023-01-01|80.93994778067885
2I|8359|PCL|2781|LIM|2789||0|143 146|236|306|64.92|1055.98|2023-01-01|77.12418300653596
2I|8359|PEM|2808|CUZ|2812||0|142|124|194|63.62|2502.55|2023-01-01|63.91752577319587
2I|8359|TPP|2806|PCL|2781||0|146|134|210|64.77|3458.2|2023-01-01|63.8095238095238
2J|470|ABJ|253|OUA|246||0|E70 CRJ M87|186|270|68.7|3648.01|2023-01-01|68.88888888888889
2J|470|BKO|1044|OUA|246||0|CRJ|140|217|76.39|6282.9|2023-01-01|64.51612903225806
2J|470|COO|245|LFW|298||0|M87|214|301|72.53|1978.05|2023-01-01|71.09634551495017
2J|470|COO|245|OUA|246||0|M87|143|195|77.85|1541.17|2023-01-01|73.33333333333333
2J|470|DKR|1084|BKO|1044||0|M87|147|219|70.16|1672.92|2023-01-01|67.12328767123287
2J|470|DKR|1084|OUA|246||0|M87|155|196|56.13|1543.52|2023-01-01|79.08163265306123
2J|470|NIM|280|OUA|246||0|CRJ|277|371|64.43|2075.46|2023-01-01|74.66307277628033
2J|470|OUA|246|ABJ|253||0|E70 CRJ M87|107|171|59.71|811.27|2023-01-01|62.57309941520468
2J|470|OUA|246|BOY|247||0|CRJ|278|328|57.45|5139.0|2023-01-01|84.7560975609756
2J|470|OUA|246|COO|245||0|M87|213|282|71.87|3489.1000000000004|2023-01-01|75.53191489361703
2J|470|OUA|246|LFW|298||0|CRJ|278|351|68.21|1482.4|2023-01-01|79.2022792022792
2K|1338|CLO|2715|GYE|2673||0|319|124|167|78.13|2408.37|2023-01-01|74.25149700598801
2K|1338|GYE|2673|SCY|6045||0|319 320|194|241|55.99|2956.15|2023-01-01|80.49792531120332
2K|1338|GYE|2673|UIO|2688||0|320 319|246|301|73.16|5184.700000000001|2023-01-01|81.72757475083057
2K|1338|OCC|2670|UIO|2688||0|319|80|139|54.6|1450.98|2023-01-01|57.55395683453237
2K|1338|SCY|6045|GYE|2673||0|319 320|185|272|73.77|2427.5|2023-01-01|68.01470588235294
2K|1338|UIO|2688|BOG|2709||0|319 320|156|236|55.08|1114.68|2023-01-01|66.10169491525424
2K|1338|UIO|2688|GYE|2673||0|319|28|54|60.21|6392.200000000001|2023-01-01|51.85185185185185
2K|1338|UIO|2688|OCC|2670||0|319|157|244|76.59|2705.52|2023-01-01|64.34426229508196
2L|2750|BDS|1506|ZRH|1678||0|100|181|218|77.48|979.03|2023-01-01|83.02752293577981
2L|2750|LCA|1197|ZRH|1678||0|319|181|276|64.09|2419.38|2023-01-01|65.57971014492753
2L|2750|LPA|1054|ZRH|1678||0|319|244|289|73.07|3122.72|2023-01-01|84.42906574394463
2L|2750|TFS|1056|GVA|1665||0|319|191|288|76.49|7197.7|2023-01-01|66.31944444444444
2L|2750|ZRH|1678|BDS|1506||0|100|165|210|54.43|3692.0|2023-01-01|78.57142857142857
2L|2750|ZRH|1678|BRS|490||0|100|167|248|67.48|1545.65|2023-01-01|67.33870967741935
2L|2750|ZRH|1678|LCA|1197||0|319|139|232|69.54|1475.3999999999999|2023-01-01|59.91379310344828
2L|2750|ZRH|1678|LPA|1054||0|319|202|257|68.08|2327.3|2023-01-01|78.59922178988327
2L|2750|ZRH|1678|RMF|4197||0|319|219|276|73.38|3233.33|2023-01-01|79.34782608695652
2N|3652|AJR|730|LYC|719||0|ATP|194|287|65.06|3016.0|2023-01-01|67.59581881533101
2N|3652|ARN|737|GEV|715||0|ATP|120|199|51.6|3385.2999999999997|2023-01-01|60.30150753768844
2N|3652|ARN|737|JKG|688||0|ATP SF3|113|210|63.97|1237.52|2023-01-01|53.80952380952381
