CodAerolinea|IDAerolinea|AeropuertoOrigen|AeropuertoOrigenID|AeropuertoDestino|AeropuertoDestinoID|OperadoCarrier|Stops|Equipamiento|TicketsVendidos|Lugares|PrecioTicket|KilometrosTotales|Fecha|ocupacion
2B|410|NJC|2972|UUA|6160||0|CR2|63|147|75.98|6360.700000000001|2023-01-01|42.857142857142854
2B|410|UUA|6160|LED|2948||0|CR2|46|110|61.87|7762.4|2023-01-01|41.81818181818181
2J|470|BOY|247|OUA|246||0|CRJ|55|112|75.1|1926.96|2023-01-01|49.107142857142854
2J|470|LFW|298|OUA|246||0|M87 CRJ|10|39|65.34|1796.6|2023-01-01|25.64102564102564
2J|470|OUA|246|NIM|280||0|CRJ|15|48|53.44|3203.96|2023-01-01|31.25
2K|1338|GYE|2673|CLO|2715||0|319|19|48|75.51|878.51|2023-01-01|39.58333333333333
2L|2750|BOD|1264|ZRH|1678||0|100|38|88|51.7|1395.06|2023-01-01|43.18181818181818
2L|2750|BRS|490|ZRH|1678||0|100|67|146|72.36|820.29|2023-01-01|45.89041095890411
2L|2750|GVA|1665|LPA|1054||0|319|24|94|66.44|3575.1|2023-01-01|25.53191489361702
2L|2750|ZRH|1678|BOD|1264||0|100|38|104|70.44|3619.95|2023-01-01|36.53846153846153
2N|3652|ARN|737|HAD|709||0|SF3|17|62|54.98|2806.68|2023-01-01|27.419354838709676
2N|3652|ARN|737|KSD|5595||0|SF3|50|133|75.78|988.99|2023-01-01|37.59398496240601
2N|3652|KOK|435|POR|448||0|SF3|46|129|55.74|6665.5|2023-01-01|35.65891472868217
2N|3652|POR|448|ARN|737||0|SF3|79|164|75.4|2627.86|2023-01-01|48.170731707317074
2N|3652|VHM|729|ARN|737||0|SF3|44|107|71.9|1581.75|2023-01-01|41.1214953271028
2N|3652|VXO|711|OSL|644||0|SF3|64|148|75.39|3567.22|2023-01-01|43.24324324324324
2O|146|ADQ|3531|KKB|7168||0|BNI|12|39|67.01|2045.29|2023-01-01|30.76923076923077
2P|897|DGT|2425|MNL|2397||0|320|27|96|61.38|6989.6|2023-01-01|28.125
2P|897|MNL|2397|CGY|2400||0|320|72|152|68.75|3799.45|2023-01-01|47.368421052631575
2P|897|MPH|4002|MNL|2397||0|DH3|10|24|66.88|2404.08|2023-01-01|41.66666666666667
2P|897|OZC|4204|MNL|2397||0|320|13|26|68.46|1790.08|2023-01-01|50.0
2P|897|ZAM|2404|MNL|2397||0|320|29|97|55.82|845.12|2023-01-01|29.896907216494846
2Z|1729|BRA|7373|SSA|2621||0|AT7|25|88|78.43|1043.9|2023-01-01|28.40909090909091
2Z|1729|GIG|2560|RAO|2613||0|AT7|60|136|69.09|1368.04|2023-01-01|44.11764705882353
2Z|1729|GYN|2562|UDI|2633||0|AT7|48|122|59.09|6339.2|2023-01-01|39.34426229508197
2Z|1729|RAO|2613|BSB|2531||0|AT7|16|38|79.27|992.71|2023-01-01|42.10526315789473
2Z|1729|RAO|2613|GRU|2564||0|AT7|31|78|78.7|1581.03|2023-01-01|39.743589743589745
2Z|1729|RAO|2613|SJP|2619||0|AT7|38|120|67.4|7873.5|2023-01-01|31.666666666666664
2Z|1729|SSA|2621|BRA|7373||0|AT7|37|98|72.27|2151.08|2023-01-01|37.755102040816325
3E|10739|DEC|4042|ORD|3830||0|CNC|32|114|50.03|7044.6|2023-01-01|28.07017543859649
3F|16262|MTM|7146|KTN|3808||0|DHP|26|69|69.04|1534.9|2023-01-01|37.68115942028986
3H|\N|YKG|5481|YPJ|5508||0|DHT DH8|39|87|53.67|1205.38|2023-01-01|44.827586206896555
3H|\N|YKL|80|YQB|111||0|DH8|38|121|53.74|4246.46|2023-01-01|31.40495867768595
3H|\N|YKL|80|YZV|202||0|BET DH8|35|115|68.27|4365.8|2023-01-01|30.434782608695656
3H|\N|YPH|5520|YVP|154||0|BET|23|73|59.3|5170.0|2023-01-01|31.506849315068493
3H|\N|YVP|154|XGR|5512||0|DHT BET|72|149|65.1|2027.79|2023-01-01|48.322147651006716
3H|\N|YWK|161|YKL|80||0|BET|53|149|68.1|5495.1|2023-01-01|35.57046979865772
