CodAerolinea|IDAerolinea|AeropuertoOrigen|AeropuertoOrigenID|AeropuertoDestino|AeropuertoDestinoID|OperadoCarrier|Stops|Equipamiento|TicketsVendidos|Lugares|PrecioTicket|KilometrosTotales|Fecha|ocupacion
2B|410|ASF|2966|KZN|2990||0|CR2|348|397|76.94|1470.43|2023-01-01|87.6574307304786
2B|410|ASF|2966|MRV|2962||0|CR2|297|349|69.33|939.89|2023-01-01|85.10028653295129
2B|410|CEK|2968|KZN|2990||0|CR2|331|341|79.16|4463.6|2023-01-01|97.0674486803519
2B|410|DME|4029|NBC|6969||0|CR2|262|299|56.09|5194.099999999999|2023-01-01|87.62541806020067
2B|410|DME|4029|TGK|\N||0|CR2|176|187|78.56|1428.45|2023-01-01|94.11764705882352
2B|410|EGO|6156|KZN|2990||0|CR2|237|243|79.55|1801.86|2023-01-01|97.53086419753086
2B|410|KZN|2990|AER|2965||0|CR2|292|319|51.67|900.77|2023-01-01|91.53605015673982
2B|410|KZN|2990|ASF|2966||0|CR2|332|333|79.06|1262.06|2023-01-01|99.69969969969969
2B|410|KZN|2990|EGO|6156||0|CR2|180|190|70.78|7664.9|2023-01-01|94.73684210526315
2B|410|LED|2948|UUA|6160||0|CR2|315|320|51.27|3060.78|2023-01-01|98.4375
2B|410|NJC|2972|SVX|2975||0|CR2|283|309|50.84|7973.099999999999|2023-01-01|91.58576051779936
2B|410|NUX|4364|SVX|2975||0|CR2|322|340|71.87|2254.07|2023-01-01|94.70588235294117
2B|410|SVX|2975|NBC|6969||0|CR2|282|311|67.51|1503.37|2023-01-01|90.67524115755627
2B|410|SVX|2975|NUX|4364||0|CR2|274|296|66.26|9044.92|2023-01-01|92.56756756756756
2B|410|TGK|\N|DME|4029||0|CR2|342|367|79.54|4201.93|2023-01-01|93.18801089918256
2B|410|UUA|6160|NJC|2972||0|CR2|260|291|65.1|1345.23|2023-01-01|89.3470790378007
2G|1654|CEK|2968|OVB|4078||0|A81|90|94|60.41|5799.700000000001|2023-01-01|95.74468085106383
