CodAerolinea|IDAerolinea|AeropuertoOrigen|AeropuertoOrigenID|AeropuertoDestino|AeropuertoDestinoID|OperadoCarrier|Stops|Equipamiento|TicketsVendidos|Lugares|PrecioTicket|KilometrosTotales|Fecha|ocupacion
2B|410|KZN|2990|DME|4029||0|CR2|3|30|71.96|1420.62|2023-01-01|10.0
2B|410|KZN|2990|SVX|2975||0|CR2|19|83|52.22|6163.55|2023-01-01|22.89156626506024
2B|410|NBC|6969|SVX|2975||0|CR2|11|90|63.71|2043.03|2023-01-01|12.222222222222221
2B|410|OVB|4078|SVX|2975||0|CR2|24|119|56.56|4259.1|2023-01-01|20.168067226890756
2B|410|SVX|2975|OVB|4078||0|CR2|6|40|53.91|1433.73|2023-01-01|15.0
2I|8359|PCL|2781|TPP|2806||0|146|26|109|79.08|1204.8|2023-01-01|23.853211009174313
2J|470|BKO|1044|ABJ|253||0|M87|11|100|58.74|8651.68|2023-01-01|11.0
2O|146|ADQ|3531|KLN|7162||0|BNI|4|68|63.05|1240.2|2023-01-01|5.88235294117647
2P|897|MNL|2397|BSO|6019||0|DH4|5|54|79.86|4999.3|2023-01-01|9.25925925925926
2Z|1729|OPS|7367|CGB|2548||0|AT7|6|48|79.12|4376.98|2023-01-01|12.5
3F|16262|KTN|3808|CGA|7144||0|DHP|19|88|68.6|1426.97|2023-01-01|21.59090909090909
3G|595|DKR|1084|DLA|897||0|319|17|77|68.66|6794.299999999999|2023-01-01|22.07792207792208
3H|\N|YGW|5496|YGL|62||0|DHT|15|66|57.29|2927.13|2023-01-01|22.727272727272727
3H|\N|YUD|5515|YPH|5520||0|DH8|8|49|61.66|1175.73|2023-01-01|16.3265306122449
3L|2916|FDH|382|HAM|342||0|AT7|1|6|57.56|1002.47|2023-01-01|16.666666666666664
3L|2916|ZRH|1678|EBA|1558||0|DH3|7|49|62.21|1889.83|2023-01-01|14.285714285714285
3M|\N|FLL|3533|MCO|3878||0|SF3|23|102|65.88|934.18|2023-01-01|22.54901960784314
3M|\N|GGT|1941|FLL|3533||0|SF3|6|69|76.89|1266.41|2023-01-01|8.695652173913043
3M|\N|PBI|3722|TPA|3646||0|SF3|14|86|59.95|1746.18|2023-01-01|16.27906976744186
3O|9818|BGY|1525|CMN|1074||0|320|1|79|66.35|1118.52|2023-01-01|1.2658227848101267
3O|9818|MPL|1359|CMN|1074||0|320|0|54|53.4|2653.94|2023-01-01|0.0
3R|3545|DME|4029|ASF|2966||0|SU9|3|74|74.51|4008.21|2023-01-01|4.054054054054054
3R|3545|DME|4029|BHK|2980||0|734|14|110|61.63|1042.8|2023-01-01|12.727272727272727
3R|3545|TIV|1743|DME|4029||0|SU9 73G|14|102|52.04|1893.25|2023-01-01|13.725490196078432
3U|4608|CKG|3393|KHN|3384||0|319|16|89|68.85|1797.8|2023-01-01|17.97752808988764
3U|4608|CKG|3393|NKG|3388||0|319|8|90|75.09|1416.03|2023-01-01|8.88888888888889
3U|4608|CSX|3371|FOC|3385||0|320|8|42|73.35|1140.45|2023-01-01|19.047619047619047
3U|4608|CSX|3371|XMN|3383||0|321|14|76|68.07|1856.59|2023-01-01|18.421052631578945
3U|4608|CTU|3395|CGO|3375||0|321|7|88|56.89|5626.2|2023-01-01|7.954545454545454
3U|4608|CTU|3395|LUM|6376||0|319|28|120|62.62|2149.6|2023-01-01|23.333333333333332
3U|4608|CTU|3395|PEK|3364||0|330 321 320|7|74|65.4|1941.67|2023-01-01|9.45945945945946
3U|4608|CTU|3395|WXN|6403||0|319|7|40|70.6|3715.17|2023-01-01|17.5
3U|4608|CTU|3395|XIC|3396||0|320|18|117|53.81|1190.0|2023-01-01|15.384615384615385
3U|4608|HKT|3179|CKG|3393||0|321|17|106|60.51|2411.1000000000004|2023-01-01|16.037735849056602
3U|4608|HRB|3400|SJW|6347||0|321|2|100|77.84|1339.92|2023-01-01|2.0
3U|4608|KMG|3382|TNA|4108||0|320|8|67|78.13|1548.81|2023-01-01|11.940298507462686
3U|4608|LXA|4097|XNN|6366||0|319|16|98|76.99|1846.0|2023-01-01|16.3265306122449
3U|4608|SZX|3374|WXN|6403||0|319|12|99|66.3|1526.81|2023-01-01|12.121212121212121
3U|4608|WNZ|6392|HRB|3400||0|321|6|42|68.5|1321.37|2023-01-01|14.285714285714285
4H|8463|CGP|3069|DAC|3076||0|DH8|25|120|71.7|1456.76|2023-01-01|20.833333333333336
4H|8463|SPD|3073|DAC|3076||0|DH8|2|25|67.76|1163.65|2023-01-01|8.0
4O|17885|CUN|1852|MTY|1825||0|320|14|83|76.99|2352.6|2023-01-01|16.867469879518072
4O|17885|GUA|1767|MEX|1824||0|320|25|113|70.13|1808.6000000000001|2023-01-01|22.123893805309734
4O|17885|MEX|1824|CME|1789||0|320|2|93|59.59|896.68|2023-01-01|2.1505376344086025
4O|17885|MTY|1825|MEX|1824||0|320|5|45|66.44|6948.6|2023-01-01|11.11111111111111
4O|17885|TIJ|1847|GDL|1804||0|320|18|112|74.78|1203.08|2023-01-01|16.071428571428573
4O|17885|TLC|1850|SAT|3621||0|320|17|101|61.52|6323.8|2023-01-01|16.831683168316832
4O|17885|TLC|1850|ZIH|1856||0|320|23|116|54.06|2080.46|2023-01-01|19.82758620689655
4Q|10758|KBL|2050|DEL|3093||0|320|7|73|58.71|3521.5|2023-01-01|9.58904109589041
4T|1401|AYT|1688|ZRH|1678||0|320|17|91|67.24|901.71|2023-01-01|18.681318681318682
4T|1401|HRG|1130|ZRH|1678||0|320|13|56|54.99|2655.57|2023-01-01|23.214285714285715
4U|2548|BIA|1321|HAM|342||0|CRJ|8|63|75.25|1197.9|2023-01-01|12.698412698412698
4U|2548|CGN|344|HER|1452||0|320 319|24|115|79.38|2532.86|2023-01-01|20.869565217391305
4U|2548|DRS|338|STR|350||0|319 CRJ|9|48|71.51|2586.44|2023-01-01|18.75
4U|2548|DUS|345|BCN|1218||0|320 319|14|69|77.11|7336.5|2023-01-01|20.28985507246377
4U|2548|DUS|345|NUE|347||0|CRJ|9|65|52.77|4891.9|2023-01-01|13.846153846153847
4U|2548|DUS|345|TRN|1526||0|CRJ|17|73|69.49|2018.79|2023-01-01|23.28767123287671
